종목코드,종목명
295040,SMART 200TR
295820,ARIRANG 200동일가중
296710,KODEX FnKorea50
298000,효성화학
298020,효성티앤씨
298040,효성중공업
298050,효성첨단소재
298340,ARIRANG 국채선물3년
298690,에어부산
298770,KODEX 한국대만IT프리미어
299070,KINDEX 국채선물10년인버스
299080,KINDEX 국채선물3년인버스
300280,KBSTAR 중소형모멘텀로우볼
300290,KBSTAR 중소형모멘텀밸류
300610,TIGER K게임
300640,KBSTAR 게임테마
300720,한일시멘트
300950,KODEX 게임산업
301400,ARIRANG 코스닥150
301410,ARIRANG 코스닥150선물인버스
301440,ARIRANG 코스피중형주
302170,TIGER 국채선물3년인버스
302180,TIGER 국채선물10년인버스
302190,TIGER 중장기국채
302200,TIGER 중장기국채선물인버스
302210,TIGER 중장기국채선물인버스2X
302450,KBSTAR 코스피
304660,KODEX 미국채울트라30년선물(H)
304670,KODEX 미국채울트라30년선물인버스(H)
304760,HANARO KRX300
304770,HANARO 코스닥150
304780,HANARO 200선물레버리지
304940,KODEX 미국나스닥100선물(H)
305050,KINDEX 코스피
305080,TIGER 미국채10년선물
305540,TIGER 2차전지테마
305720,KODEX 2차전지산업
306200,세아제강
306520,HANARO 200선물인버스
306530,HANARO 코스닥150선물레버리지
306540,HANARO 단기통안채
306950,KODEX KRX300레버리지
306960,KODEX KRX300선물인버스
307010,KBSTAR KRX300레버리지
307020,KBSTAR KRX300선물인버스
307510,TIGER 의료기기
307520,TIGER 지주회사
307610,TIGER KRX300레버리지
307620,TIGER KRX300선물인버스
307950,현대오토에버
308170,센트랄모텍
308620,KODEX 미국채10년선물
309170,ARIRANG KRX300IT
309210,ARIRANG KRX300헬스케어
309230,KINDEX 미국WideMoat가치주
310080,KBSTAR 중국MSCI China선물(H)
310960,TIGER 200TR
310970,TIGER MSCI Korea TR
314250,KODEX 미국FANG플러스(H)
314700,HANARO 농업융복합산업
315270,TIGER 200커뮤니케이션서비스
315480,KBSTAR 200커뮤니케이션서비스
315930,KODEX Top5PlusTR
315960,KBSTAR 대형고배당10TR
316140,우리금융지주
316300,KINDEX 싱가포르리츠
316670,KOSEF 코스닥150
317400,자이에스앤디
319640,TIGER 골드선물(H)
319870,KBSTAR KRX300미국달러선물혼합
321410,KODEX 멀티에셋하이인컴(H)
322000,현대에너지솔루션
322120,KINDEX 스마트퀄리티
322130,KINDEX 스마트로우볼
322150,KINDEX 스마트하이베타
322400,HANARO e커머스
322410,HANARO 고배당
325010,KODEX Fn성장
325020,KODEX 배당가치
326030,SK바이오팜
326230,KBSTAR 내수주플러스
326240,KBSTAR IT플러스
328370,ARIRANG 코스피TR
329200,TIGER 부동산인프라고배당
329650,KODEX TRF3070
329660,KODEX TRF5050
329670,KODEX TRF7030
329750,TIGER 미국달러단기채권액티브
330590,롯데리츠
331910,KOSEF Fn중소형
332500,KINDEX 200TR
332610,ARIRANG 미국단기우량회사채
332620,ARIRANG 미국장기우량회사채
332930,HANARO 200TR
332940,HANARO MSCI Korea TR
333940,ARIRANG KS로우볼가중TR
333950,ARIRANG KS로우사이즈가중TR
333960,ARIRANG KS모멘텀가중TR
333970,ARIRANG KS밸류가중TR
333980,ARIRANG KS퀄리티가중TR
334690,KBSTAR 팔라듐선물(H)
334700,KBSTAR 팔라듐선물인버스(H)
334890,이지스밸류리츠
336160,KBSTAR 금융채액티브
336260,두산퓨얼셀
33626K,두산퓨얼셀1우
33626L,두산퓨얼셀2우B
336370,두산솔루스
33637K,두산솔루스1우
33637L,두산솔루스2우B
337120,KODEX Fn멀티팩터
337140,KODEX 코스피대형주
337150,KODEX 200exTOP
337160,KODEX 200ESG
338100,NH프라임리츠
341850,TIGER KIS부동산인프라채권TR
342140,KINDEX 모닝스타싱가포르리츠채권혼합
342500,KBSTAR KRX국채선물3년10년스티프너
342600,KBSTAR KRX국채선물3년10년스티프너2X
342610,KBSTAR KRX국채선물3년10년플래트너
342620,KBSTAR KRX국채선물3년10년플래트너2X
344820,케이씨씨글라스
346000,HANARO KAP초장기국고채
348950,제이알글로벌리츠
350520,이지스레지던스리츠
352540,KODEX TSE일본리츠(H)
352560,KODEX 다우존스미국리츠(H)
353200,대덕전자
35320K,대덕전자1우
354240,KBSTAR 미국고정배당우선증권ICE TR
354350,HANARO 글로벌럭셔리S&P(합성)
354500,KINDEX 코스닥150
356540,KINDEX KIS종합채권(AA-이상)액티브
357250,미래에셋맵스리츠
357870,TIGER CD금리투자KIS(합성)
359210,KODEX 코스피TR
360140,KODEX 200롱코스닥150숏선물
360150,KODEX 코스닥150롱코스피200숏선물
360200,KINDEX 미국S&P500
360750,TIGER 미국S&P500
361580,KBSTAR 200TR
361590,KBSTAR 코스피ex200
500053,신한 레버리지 천연가스 선물 ETN
500054,신한 인버스 2X 천연가스 선물 ETN
500007,신한 인버스 은 선물 ETN(H)
500039,신한 코스피 콘도르 4/10% ETN
500042,신한 코스피 콘도르 6/10% ETN
500043,신한 코스피 콘도르 4/10% 콜 2204-01 ETN
500044,신한 코스피 콘도르 6/10% 콜 2204-01 ETN
500052,신한 FnGuide 5G 테마주 ETN
500001,신한 K200 USD 선물 바이셀 ETN
500002,신한 USD K200 선물 바이셀 ETN
500035,신한 레버리지 미국달러 선물 ETN
500036,신한 인버스 2X 미국달러 선물 ETN
500046,신한 코스피 월별 양매도 3% OTM ETN
500047,신한 코스피 월별 양매도 5% OTM ETN
500048,신한 코스피 월별 양매도 3% 콜 2206-1 ETN
500049,신한 코스피 월별 양매도 5% 콜 2206-1 ETN
500020,신한 레버리지 다우존스지수 선물 ETN(H)
500028,신한 인버스 2X 다우존스지수 선물 ETN(H)
500050,신한 레버리지 S&P500 선물 ETN
500051,신한 인버스 2X S&P500 선물 ETN
500003,신한 인버스 WTI원유 선물 ETN(H)
500004,신한 브렌트원유 선물 ETN(H)
500005,신한 인버스 브렌트원유 선물 ETN(H)
500006,신한 인버스 금 선물 ETN(H)
500008,신한 인버스 구리 선물 ETN(H)
500009,신한 다우존스지수 선물 ETN(H)
500010,신한 인버스 다우존스지수 선물 ETN(H)
500011,신한 달러인덱스 선물 ETN(H)
500012,신한 인버스 달러인덱스 선물 ETN(H)
500013,신한 옥수수 선물 ETN(H)
500014,신한 인버스 옥수수 선물 ETN(H)
500015,신한 WTI원유 선물 ETN(H)
500016,신한 금 선물 ETN(H)
500017,신한 은 선물 ETN(H)
500018,신한 구리 선물 ETN(H)
500019,신한 레버리지 WTI원유 선물 ETN(H)
500021,신한 천연가스 선물 ETN(H)
500022,신한 인버스 천연가스 선물 ETN(H)
500023,신한 콩 선물 ETN(H)
500024,신한 인버스 콩 선물 ETN(H)
500027,신한 인버스 2X WTI원유 선물 ETN(H)
500029,신한 레버리지 은 선물 ETN(H)
500030,신한 인버스 2X 은 선물 ETN(H)
500031,신한 레버리지 천연가스 선물 ETN(H)
500032,신한 인버스 2X 천연가스 선물 ETN(H)
500037,신한 레버리지 금 선물 ETN
500038,신한 인버스 2X 금 선물 ETN
500040,신한 레버리지 구리 선물 ETN
500041,신한 인버스 2X 구리 선물 ETN
500045,신한 S&P500 VIX S/T 선물 ETN B
510001,대신 WTI원유 선물 ETN(H)
510011,대신 골드 커버드콜 타겟 5%인컴 ETN(H)
510002,대신 아연선물 ETN(H)
510003,대신 니켈선물 ETN(H)
510004,대신 인버스 아연선물 ETN(H)
510005,대신 2X 아연선물 ETN(H)
510006,대신 인버스 니켈선물 ETN(H)
510007,대신 2X 니켈선물 ETN(H)
510010,대신 인버스 2X 니켈선물 ETN(H)
510008,대신 철광석 선물 ETN(H)
510009,대신 인버스 철광석 선물 ETN(H)
520004,미래에셋 전기전자 Core5 ETN
520005,미래에셋 인버스 전기전자 Core5 ETN
520006,미래에셋 에너지화학 Core5 ETN
520007,미래에셋 인버스 에너지화학 Core5 ETN
520013,미래에셋 Q150 Core5 ETN
520014,미래에셋 미디어엔터 Core5 ETN
520015,미래에셋 인버스 미디어엔터 Core5 ETN
520026,미래에셋 코스피 양매도 5% OTM ETN
520009,미래에셋 레버리지 원유선물혼합 ETN(H)
520010,미래에셋 원유선물혼합 ETN(H)
520011,미래에셋 인버스 원유선물혼합 ETN(H)
520020,미래에셋 미국 시니어론 100 ETN(H)
520021,미래에셋 미국 시니어론 100 ETN
520012,미래에셋 호주 ASX200 ETN(H)
520003,미래에셋 원자재 선물 ETN(H)
530003,삼성 모멘텀 탑픽 ETN
530004,삼성 화장품 테마주 ETN
530005,삼성 바이오 테마주 ETN
530006,삼성 음식료 테마주 ETN
530007,삼성 레저 테마주 ETN
530008,삼성 미디어 테마주 ETN
530009,삼성 증권 테마주 ETN
530010,삼성 건축자재 테마주 ETN
530011,삼성 온라인쇼핑 테마주 ETN
530012,삼성 화학 테마주 ETN
530013,삼성 KTOP30 ETN
530067,삼성 KRX 금현물 ETN
530053,삼성 코스피 풋매도 ETN
530060,삼성 코스피 양매도 5% OTM ETN
530066,삼성 코스피 풋매도 4% OTM ETN
530015,삼성 미국 대형 성장주 ETN(H)
530016,삼성 미국 대형 가치주 ETN(H)
530017,삼성 미국 중소형 성장주 ETN(H)
530018,삼성 미국 중소형 가치주 ETN(H)
530019,삼성 미국 대형 성장주 ETN
530020,삼성 미국 대형 가치주 ETN
530021,삼성 미국 중소형 성장주 ETN
530022,삼성 미국 중소형 가치주 ETN
530032,삼성 Cushing 에너지인프라 MLP ETN
530033,삼성 Alerian 에너지인프라 MLP ETN
530031,삼성 레버리지 WTI원유 선물 ETN
530036,삼성 인버스 2X WTI원유 선물 ETN
530037,삼성 레버리지 천연가스 선물 ETN
530038,삼성 인버스 2X 천연가스 선물 ETN
530055,삼성 레버리지 금 선물 ETN(H)
530056,삼성 인버스 2X 금 선물 ETN(H)
530061,삼성 레버리지 은 선물 ETN(H)
530062,삼성 인버스 2X 은 선물 ETN(H)
530063,삼성 레버리지 구리 선물 ETN(H)
530064,삼성 인버스 2X 구리 선물 ETN(H)
530065,삼성 S&P500 VIX S/T 선물 ETN(H) B
530002,삼성 인버스 China A50 선물 ETN(H)
530014,삼성 China A50 선물 ETN(H)
530023,삼성 레버리지 China A50 선물 ETN(H)
550001,QV Big Vol ETN
550002,QV WISE 배당 ETN
550004,QV 롱숏 K150 매수 로우볼 매도 ETN
550005,QV 에너지 TOP5 ETN
550006,QV 내수소비 TOP5 ETN
550007,QV 조선 TOP5 ETN
550008,QV 소프트웨어 TOP5 ETN
550009,QV 하드웨어 TOP5 ETN
550010,QV 운송 TOP5 ETN
550011,QV 자동차 TOP5 ETN
550012,QV 의료 TOP5 ETN
550013,QV 화학 TOP5 ETN
550014,QV 바이오 TOP5 ETN
550015,QV 제약 TOP5 ETN
550016,QV 건설 TOP5 ETN
550026,QV KTOP30 ETN
550033,QV 스마트리밸런싱 260/4 ETN
550046,QV 레버리지 10년 국채선물 ETN
550047,QV 인버스 레버리지 10년 국채선물 ETN
550056,QV 코스피 양매도 5% OTM ETN
550057,QV 코스피 변동성 매칭형 양매도 ETN
550041,QV 미국 IT TOP5 ETN(H)
550044,QV 레버리지 S&P500 ETN
550045,QV 인버스 레버리지 S&P500 ETN
550052,QV MSCI 선진국 ETN
550053,QV 인버스 MSCI 선진국 ETN
550054,QV 레버리지 MSCI 선진국 ETN
550055,QV 인버스 레버리지 MSCI 선진국 ETN
550042,QV 레버리지 WTI원유 선물 ETN(H)
550043,QV 인버스 레버리지 WTI원유 선물 ETN(H)
550058,QV S&P500 VIX S/T 선물 ETN B
550018,QV CHINEXT ETN(H)
570045,TRUE 레버리지 천연가스 선물 ETN(H)
570046,TRUE 인버스 2X 천연가스 선물 ETN(H)
570047,TRUE FTSE100 ETN
570048,TRUE 유로스탁스50 양매도 5% OTM ETN(H)
570049,TRUE S&P500 양매도 4% OTM ETN(H)
570050,TRUE S&P500 선물 ETN
570051,TRUE 나스닥 100 ETN
570003,TRUE 빅5 동일가중 ETN
570008,TRUE 섹터탑픽 ETN
570009,TRUE 코리아프리미어 ETN
570019,TRUE 코스피 양매도 5% OTM ETN
570020,TRUE 코스피 커버드콜 ETN B
570021,TRUE 코스피 커버드풋 ETN B
570024,TRUE 코스피 타겟볼20 ETN
570029,TRUE 코스피 양매도 3% OTM ETN
570030,TRUE 코스피 양매도 ATM ETN
570022,TRUE 레버리지 S&P500 선물 ETN(H)
570023,TRUE 인버스 2X S&P500 선물 ETN(H)
570042,TRUE 인버스 나스닥 100 ETN
570043,TRUE 레버리지 나스닥 100 ETN
570044,TRUE 인버스 2X 나스닥 100 ETN
570025,TRUE 인버스 유로스탁스50 ETN(H) B
570026,TRUE 레버리지 유로스탁스50 ETN(H)
570027,TRUE 인버스 2X 유로스탁스50 ETN(H)
570037,TRUE 유로선물 ETN B
570038,TRUE 인버스 유로선물 ETN B
570034,TRUE 엔선물 ETN B
570035,TRUE 레버리지 엔선물 ETN B
570036,TRUE 인버스 엔선물 ETN B
570028,TRUE 인버스 HSCEI ETN(H) B
570031,TRUE 레버리지 HSCEI ETN(H)
570032,TRUE 인버스 2X HSCEI ETN(H)
580006,KB KTOP30 ETN
580007,KB KQ 우량주30 ETN
580008,KB 코스피 양매도 5% OTM ETN
580009,KB 코스피 마운틴 ETN
580010,KB Wise 분할매매 ETN
590007,미래에셋 미국 대형주 ETN(H)
590008,미래에셋 미국 중형주 ETN(H)
590009,미래에셋 미국 항공우주 ETN(H)
590010,미래에셋 레버리지 S&P500 ETN(H)
590011,미래에셋 인버스 S&P500 ETN(H)
590013,미래에셋 미국 리츠 ETN(H)
590016,미래에셋 미국 헬스케어 ETN(H)
590017,미래에셋 미국 고배당주 ETN(H)
590003,미래에셋 유럽 대형주 ETN(H)
590004,미래에셋 유럽 중형주 ETN(H)
590005,미래에셋 일본 대형주 ETN(H)
590006,미래에셋 일본 중형주 ETN(H)
590018,미래에셋 중국 심천 100 ETN
590012,미래에셋 글로벌 리츠 ETN(H)
700001,하나 코스피 변동성추세 추종 양매도 ETN
900140,엘브이엠씨홀딩스
,
